partida;nombre;ENE;FEB;MAR;ABRIL;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
71001010010000;x;2916.666667;2916.666667;2916.666667;2916.666667;2916.666667;2916.666667;2916.666667;2916.666667;2916.666667;2916.666667;2916.666667;2916.666667
71001010020000;x;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667
71001010030000;x;954.1666667;954.1666667;954.1666667;954.1666667;954.1666667;954.1666667;954.1666667;954.1666667;954.1666667;954.1666667;954.1666667;954.1666667
71001010060000;x;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667
71001010080000;x;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667
71001010090000;x;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250
71001010100000;x;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000
71001010110000;x;2083.333333;2083.333333;2083.333333;2083.333333;2083.333333;2083.333333;2083.333333;2083.333333;2083.333333;2083.333333;2083.333333;2083.333333
71001020030000;x;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000
71001020040000;x;29166.66667;29166.66667;29166.66667;29166.66667;29166.66667;29166.66667;29166.66667;29166.66667;29166.66667;29166.66667;29166.66667;29166.66667
71001020050000;x;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333
71001020060000;x;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333
71001030020000;x;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
71001030030000;x;9166.666667;9166.666667;9166.666667;9166.666667;9166.666667;9166.666667;9166.666667;9166.666667;9166.666667;9166.666667;9166.666667;9166.666667
71001040010000;x;1035.79;1035.79;1035.79;1035.79;1035.79;1035.79;1035.79;1035.79;1035.79;1035.79;1035.79;1035.79
71001040020000;x;6666.666667;6666.666667;6666.666667;6666.666667;6666.666667;6666.666667;6666.666667;6666.666667;6666.666667;6666.666667;6666.666667;6666.666667
71002010010000;x;166.6666667;166.6666667;166.6666667;166.6666667;166.6666667;166.6666667;166.6666667;166.6666667;166.6666667;166.6666667;166.6666667;166.6666667
71002010030000;x;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667
71002010040000;x;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000
71002020040000;x;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333
71002020050000;x;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333
71002020070000;x;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333
71002020080000;x;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333
71002020100000;x;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333
71002020110000;x;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333
71002030010000;x;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667
71002030020000;x;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667
71003010020000;x;920;920;920;920;920;920;920;920;920;920;920;920
71003010060000;x;920;920;920;920;920;920;920;920;920;920;920;920
71003010080000;x;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
71003010090000;x;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
71003010100000;x;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
71003010110000;x;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250
71003010120000;x;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250
71003010130000;x;666.6666667;666.6666667;666.6666667;666.6666667;666.6666667;666.6666667;666.6666667;666.6666667;666.6666667;666.6666667;666.6666667;666.6666667
71003010140000;x;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
71003010150000;x;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
71003020010000;x;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
71003020020000;x;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
71003030030000;x;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
71003040020000;x;833.3333333;833.3333333;833.3333333;833.3333333;833.3333333;833.3333333;833.3333333;833.3333333;833.3333333;833.3333333;833.3333333;833.3333333
71003040030000;x;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
71003040040000;x;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667
71006010010000;x;3159.75;3159.75;3159.75;3159.75;3159.75;3159.75;3159.75;3159.75;3159.75;3159.75;3159.75;3159.75
71006010020000;x;0;0;0;0;0;0;0;0;0;0;0;0
71006010030000;x;0;0;0;0;0;0;0;0;0;0;0;0
71006010040000;x;0;0;0;0;0;0;0;0;0;0;0;0
71007010010000;x;3750.583333;3750.583333;3750.583333;3750.583333;3750.583333;3750.583333;3750.583333;3750.583333;3750.583333;3750.583333;3750.583333;3750.583333
